_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6604cd111508496677e37752,,59.63,93.85,59.63,64.93,61;0;0;0,words,10,-1,1,12.28,0,2.16,false,false,indonesian,,normal,false,false,false,,1711590673000
65fd6ee29c9c7becc57af00d,,80.63,98.18,80.63,71.53,161;0;0;0,words,25,-1,2,23.96,0,4.18,false,false,indonesian,,normal,false,false,false,,1711107810000
65f7dddd9c9c7becc542e5eb,,73.49,94.44,73.49,66.16,150;0;0;0,words,25,-1,5,24.49,0,28.56,false,false,indonesian,,normal,false,false,false,,1710743005000
65f69d289c9c7becc5391a2a,true,81.19,94.14,83.99,72.18,203;1;1;0,time,30,-1,2,30,0,7.51,false,false,indonesian,,normal,false,false,false,,1710660904000
65f69ce29c9c7becc5391857,true,85.65,97.53,85.65,69.39,158;0;0;0,words,25,-1,7,22.14,0,13.06,false,false,indonesian,,normal,false,false,false,,1710660834000
65f69c7d9c9c7becc53915a8,true,93.37,100,93.37,61.33,63;0;0;0,words,10,-1,3,8.1,0,6.12,false,false,indonesian,,normal,false,false,false,,1710660733000
65f69c549c9c7becc5391475,true,68.45,93.21,68.45,61.39,671;0;0;0,words,100,-1,3,117.64,0,15.5,false,false,indonesian,,normal,false,false,false,,1710660692000
65f69ba79c9c7becc5390fc1,true,73.37,93.39,73.37,68,321;0;0;0,words,50,-1,0,52.5,0,0,false,false,indonesian,,normal,false,false,false,,1710660518000
65f13eb9f3fe859d29a02286,true,70.12,95.15,70.12,67.33,312;0;0;0,words,50,-1,3,53.39,0,8.59,false,false,indonesian,,normal,false,false,false,,1710309049000
65f13e73f3fe859d29a0203b,true,67.59,95.21,67.59,60.88,158;0;0;0,words,25,-1,0,28.05,0,0,false,false,indonesian,,normal,false,false,false,,1710308979000
65f13e51f3fe859d29a01f31,true,76.1,94.2,76.1,65.29,64;0;0;0,words,10,-1,2,10.09,0,4.26,false,false,indonesian,,normal,false,false,false,,1710308945000
65f13e40f3fe859d29a01ea4,true,71.51,91.3,71.51,64.28,63;0;0;0,words,10,-1,1,10.57,0,2.7,false,false,indonesian,,normal,false,false,false,,1710308928000
65f13dfdf3fe859d29a01c70,,65.55,93.33,65.55,56.58,82;0;0;0,time,15,-1,1,15.01,0,0.52,false,false,indonesian,,normal,false,false,false,,1710308861000
65f13debf3fe859d29a01bf7,,74.37,96,74.37,59.16,93;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1710308843000
